"faa","name","lat","lon","alt","tz","dst"
"AIZ","Lee C Fine Memorial Airport",38.096035,-92.5494875,869,-5,"A"
"AKB","Atka Airport",52.220278,-174.206389,56,-9,"A"
"AKC","Akron Fulton Intl",41.0375,-81.466917,1067,-5,"A"
"AKI","Akiak Airport",60.902778,-161.230556,30,-9,"A"
"AKK","Akhiok Airport",56.938611,-154.1825,44,-9,"A"
"AKN","King Salmon",58.676778,-156.649278,68,-9,"A"
"AKP","Anaktuvuk Pass Airport",68.1336,-151.743,2103,-9,"A"
"ALB","Albany Intl",42.748267,-73.801692,285,-5,"A"
"ALI","Alice Intl",27.740889,-98.026944,178,-6,"A"
"ALM","Alamogordo White Sands Regional Airport",32.8399,-105.991,4200,-7,"A"
"ALO","Waterloo Regional Airport",42.5571,-92.4003,873,-6,"A"
"ALS","San Luis Valley Regional Airport",37.435,-105.866667,7539,-7,"A"
"ALW","Walla Walla Regional Airport",46.0949,-118.288,1191,-8,"A"
"ALX","Alexandria",38.806346,-77.0621,1,-5,"A"
"ALZ","Alitak Seaplane Base",56.899444,-154.247778,0,-9,"A"
"AMA","Rick Husband Amarillo Intl",35.219369,-101.705931,3607,-6,"A"
"ANB","Anniston Metro",33.588167,-85.858111,612,-6,"A"
"ANC","Ted Stevens Anchorage Intl",61.174361,-149.996361,152,-9,"A"
"AND","Anderson Rgnl",34.494583,-82.709389,782,-5,"A"
"ANI","Aniak Airport",61.5816,-159.543,88,-9,"A"
"ANN","Annette Island",55.042436,-131.572233,119,-9,"A"
"ANP","Lee Airport",38.942778,-76.568333,34,-5,"A"
"ANQ","Tri-State Steuben County Airport",41.6396983,-85.0834933,995,-5,"A"
"ANV","Anvik Airport",62.6467,-160.191,309,-9,"A"
"AOH","Lima Allen County Airport",40.707478,-84.0270781,975,-5,"A"
"AOO","Altoona Blair Co",40.296372,-78.320022,1504,-5,"A"
"AOS","Amook Bay Seaplane Base",57.471389,-153.815278,0,-9,"A"
"APA","Centennial",39.570129,-104.849294,5883,-7,"A"
"APC","Napa County Airport",38.2131944,-122.2806944,35,-7,"A"
"APF","Naples Muni",26.152619,-81.775294,8,-5,"A"
"APG","Phillips Aaf",39.466219,-76.168808,57,-5,"A"
"APN","Alpena County Regional Airport",45.0781,-83.5603,689,-5,"A"
"AQC","Klawock Seaplane Base",55.554658,-133.101693,0,-9,"A"
"ARA","Acadiana Rgnl",30.037758,-91.883896,24,-6,"A"
"ARB","Ann Arbor Municipal Airport",42.132274,-83.444418,839,-5,"A"
"ARC","Arctic Village Airport",68.1147,-145.579,2092,-9,"A"
"ART","Watertown Intl",43.991922,-76.021739,325,-5,"A"
"ARV","Lakeland",45.927778,-89.730833,1629,-6,"A"
"ASE","Aspen Pitkin County Sardy Field",39.2232,-106.869,7820,-7,"A"
"ASH","Boire Field Airport",42.78175,-71.5147778,199,-4,"A"
"AST","Astoria Regional Airport",46.157972,-123.878694,15,-8,"A"
"ATK","Atqasuk Edward Burnell Sr Memorial Airport",70.4673,-157.436,96,-9,"A"
"ATL","Hartsfield Jackson Atlanta Intl",33.636719,-84.428067,1026,-5,"A"
"ATT","Camp Mabry Austin City",30.31666,-97.7666,0,-6,"A"
"ATW","Appleton",44.257526,-88.507576,680,-6,"A"
"ATY","Watertown Regional Airport",44.914,-97.1547,1748,-6,"A"
"AUG","Augusta State",44.320647,-69.797317,352,-5,"A"
"AUK","Alakanuk Airport",62.68,-164.66,10,-9,"A"
"AUS","Austin Bergstrom Intl",30.194528,-97.669889,542,-6,"A"
"AUW","Wausau Downtown Airport",44.9262845,-89.6270018,1201,-6,"U"
"AVL","Asheville Regional Airport",35.436194,-82.541806,2165,-5,"A"
"AVO","Executive",27.591389,-81.528889,160,-5,"A"
"AVP","Wilkes Barre Scranton Intl",41.338478,-75.723403,962,-5,"A"
"AVW","Marana Regional",32.409556,-111.218388,2031,-7,"U"
"AVX","Avalon",33.405,-118.415833,1602,-8,"A"
"AZA","Phoenix-Mesa Gateway",33.307833,-111.655,1382,-7,"N"
"AZO","Kalamazoo",42.234875,-85.552058,874,-5,"A"
"BAB","Beale Afb",39.136089,-121.436567,113,-8,"A"
"BAD","Barksdale Afb",32.50182,-93.662674,166,-6,"A"
"BAF","Barnes Municipal",42.1579472,-72.715875,270,-4,"A"
"BBX","Wings Field",40.1375,-75.265,302,-5,"A"
"BCE","Bryce Canyon",37.706444,-112.145806,7590,-7,"A"
"BCT","Boca Raton",26.3785,-80.107694,13,-5,"A"
"BDE","Baudette Intl",48.728444,-94.612222,1086,-6,"A"
"BDL","Bradley Intl",41.938889,-72.683222,173,-5,"A"
"BDR","Igor I Sikorsky Mem",41.163472,-73.126167,9,-5,"A"
"BEC","Beech Factory Airport",37.6939167,-97.2149167,1409,-5,"A"
"BED","Laurence G Hanscom Fld",42.469953,-71.289031,133,-5,"A"
"BEH","Southwest Michigan Regional Airport",42.1285833,-86.4285,643,-5,"A"
"BET","Bethel",60.779778,-161.838,121,-9,"A"
"BFD","Bradford Regional Airport",41.8031,-78.6401,2143,-5,"A"
"BFF","Western Nebraska Regional Airport",41.874,-103.596,3967,-7,"A"
"BFI","Boeing Fld King Co Intl",47.53,-122.301947,21,-8,"A"
"BFL","Meadows Fld",35.433598,-119.05677,507,-8,"A"
"BFM","Mobile Downtown",30.626783,-88.068092,26,-6,"A"
"BFP","Beaver Falls",40.7724722,-80.3914444,1253,-4,"A"
"BFT","Beaufort",32.477411,-80.723161,37,-5,"A"
"BFT","BFT County Airport",32.41083,-80.635,500,-5,"A"
"BGE","Decatur County Industrial Air Park",30.9715981,-84.6369278,141,-5,"A"
"BGM","Greater Binghamton Edwin A Link Fld",42.208689,-75.979839,1636,-5,"A"
"BGR","Bangor Intl",44.807444,-68.828139,192,-5,"A"
"BHB","Hancock County - Bar Harbor",44.4497689,-68.3615653,83,-5,"A"
"BHM","Birmingham Intl",33.562942,-86.75355,644,-6,"A"
"BID","Block Island State Airport",41.168056,-71.577778,108,-5,"A"
"BIF","Biggs Aaf",31.849528,-106.380039,3948,-7,"A"
"BIG","Allen Aaf",63.994547,-145.721642,1291,-9,"A"
"BIL","Billings Logan International Airport",45.80921,-108.537654,3652,-7,"A"
"BIS","Bismarck Municipal Airport",46.775842,-100.757931,1661,-6,"A"
"BIV","Tulip City Airport",42.7427778,-86.1078333,698,-5,"A"
"BIX","Keesler Afb",30.410425,-88.924433,33,-6,"A"
"BJC","Rocky Mountain Metropolitan Airport",39.90888888,-105.11722222,5670,-7,"A"
"BJI","Bemidji Regional Airport",47.510722,-94.934722,1391,-6,"A"
"BKC","Buckland Airport",65.981667,-161.149167,31,-9,"A"
"BKD","Stephens Co",32.719047,-98.891,1284,-6,"A"
"BKF","Buckley Afb",39.701668,-104.75166,5662,-7,"A"
"BKG","Branson LLC",36.531994,-93.200556,1302,-6,"A"
"BKH","Barking Sands Pmrf",22.022833,-159.785,23,-10,"A"
"BKL","Burke Lakefront Airport",41.5175,-81.683333,583,-5,"A"
"BKW","Raleigh County Memorial Airport",37.7873,-81.1242,2504,-5,"A"
"BKX","Brookings Regional Airport",44.3048,-96.8169,1648,-6,"A"
"BLD","Boulder City Municipal Airport",35.5651,-114.514,2201,-8,"U"
"BLF","Mercer County Airport",37.2958,-81.2077,2857,-5,"A"
"BLH","Blythe Airport",33.619167,-114.716889,399,-8,"A"
"BLI","Bellingham Intl",48.792694,-122.537528,170,-8,"A"
"BLV","Scott Afb Midamerica",38.545178,-89.835183,459,-6,"A"
"BMC","Brigham City",41.552,-112.062,4229,-7,"A"
"BMG","Monroe County Airport",39.1460208,-86.6166805,846,-5,"A"
"BMI","Central Illinois Rgnl",40.477111,-88.915917,871,-6,"A"
"BMX","Big Mountain Afs",59.361247,-155.258822,663,-9,"A"
"BNA","Nashville Intl",36.124472,-86.678194,599,-6,"A"
"BOI","Boise Air Terminal",43.564361,-116.222861,2871,-7,"A"
"BOS","General Edward Lawrence Logan Intl",42.364347,-71.005181,19,-5,"A"
"BOW","Bartow Municipal Airport",27.9434,-81.7834,125,-6,"U"
"BPT","Southeast Texas Rgnl",29.950833,-94.020694,15,-6,"A"
"BQK","Brunswick Golden Isles Airport",31.2588,-81.4665,26,-5,"A"
"BRD","Brainerd Lakes Rgnl",46.398308,-94.138078,1226,-6,"U"
"BRL","Southeast Iowa Regional Airport",40.7832,-91.1255,698,-6,"A"
"BRO","Brownsville South Padre Island Intl",25.906833,-97.425861,22,-6,"A"
"BRW","Wiley Post Will Rogers Mem",71.285446,-156.766003,44,-9,"A"
"BSF","Bradshaw Aaf",19.760056,-155.553717,6190,-10,"A"
"BTI","Barter Island Lrrs",70.133989,-143.581867,2,-9,"A"
"BTM","Bert Mooney Airport",45.954806,-112.497472,5550,-7,"A"
"BTR","Baton Rouge Metro Ryan Fld",30.533167,-91.149639,70,-6,"A"
"BTT","Bettles",66.913944,-151.529056,644,-9,"A"
"BTV","Burlington Intl",44.471861,-73.153278,335,-5,"A"
"BUF","Buffalo Niagara Intl",42.940525,-78.732167,724,-5,"A"
"BUR","Bob Hope",34.200667,-118.358667,778,-8,"A"
"BUU","Municipal Airport",42.6907171,-88.3046825,780,-6,"A"
"BUY","Burlington-Alamance Regional Airport",36.0485433,-79.4748892,617,-4,"A"
"BVY","Beverly Municipal Airport",42.584141,-70.9161444,107,-5,"A"
"BWD","KBWD",31.7936111,-98.9565,1387,-6,"A"
"BWG","Bowling Green-Warren County Regional Airport",36.9645278,-86.4196667,547,-5,"A"
"BWI","Baltimore Washington Intl",39.175361,-76.668333,146,-5,"A"
"BXK","Buckeye Municipal Airport",33.420417,-112.68618,1033,-7,"U"
"BXS","Borrego Valley Airport",33.2590278,-116.3209722,520,-7,"A"
"BYH","Arkansas Intl",35.964347,-89.943956,254,-6,"A"
"BYS","Bicycle Lake Aaf",35.280531,-116.630031,2350,-8,"A"
"BYW","Blakely Island Airport",48.56025,-122.80243,0,-8,"A"
"BZN","Gallatin Field",45.777643,-111.160151,4500,-7,"A"
"C02","Grand Geneva Resort Airport",42.6149167,-88.3895833,835,-6,"U"
"C16","Frasca Field",40.144979,-88.200197,735,-6,"A"
"C47","Portage Municipal Airport",43.5603136,-89.4828607,825,-6,"U"
"C65","Plymouth Municipal Airport",41.3651307,-86.3002574,800,-5,"A"
"C89","Sylvania Airport",42.70325,-87.9589722,785,-6,"A"
"C91","Dowagiac Municipal Airport",41.9929342,-86.1280125,748,-5,"U"
"CAE","Columbia Metropolitan",33.938833,-81.119528,236,-5,"A"
"CAK","Akron Canton Regional Airport",40.9160833,-81.4421944,1228,-5,"A"
"CAR","Caribou Muni",46.8715,-68.017917,626,-4,"A"
"CBE","Greater Cumberland Rgnl.",39.615278,-78.760556,775,-5,"A"
"CBM","Columbus Afb",33.643833,-88.443833,219,-6,"A"
"CCO","Coweta County Airport",33.3115656,-84.7697554,970,-5,"A"
"CCR","Buchanan Field Airport",37.9896667,-122.0568889,26,-8,"A"
"CDB","Cold Bay",55.206061,-162.725436,96,-9,"A"
"CDC","Cedar City Rgnl",37.700967,-113.098847,5622,-7,"A"
"CDI","Cambridge Municipal Airport",39.9750278,-81.5775833,799,-5,"U"
"CDK","CedarKey",29.1342222,-83.0504722,11,-4,"A"
"CDN","Woodward Field",34.2835833,-80.5648611,302,-5,"A"
"CDR","Chadron Municipal Airport",42.8375,-103.095556,3297,-7,"A"
"CDS","Childress Muni",34.433781,-100.287992,1954,-6,"A"
"CDV","Merle K Mudhole Smith",60.491778,-145.477556,48,-9,"A"
"CDW","Caldwell Essex County Airport",40.8752222,-74.2813611,172,-5,"A"
"CEC","Del Norte County Airport",41.7802,-124.237,57,-8,"A"
"CEF","Westover Arb Metropolitan",42.194014,-72.534783,241,-5,"A"
"CEM","Central Airport",65.573889,-144.780833,937,-9,"A"
"CEU","Clemson",34.6722222,-82.8858889,891,-4,"A"
"CEW","Bob Sikes",30.778833,-86.522111,213,-6,"A"
"CEZ","Cortez Muni",37.303,-108.628056,5918,-7,"A"
"CFD","Coulter Fld",30.715694,-96.331361,367,-6,"A"
"CGA","Craig Seaplane Base",55.478889,-133.147778,0,-9,"A"
"CGF","Cuyahoga County",41.565124,-81.4863555,879,-5,"A"
"CGI","Cape Girardeau Regional Airport",37.2253,-89.5708,342,-6,"A"
"CGX","Meigs Field",41.860278,-87.609722,585,-6,"A"
"CGZ","Casa Grande Municipal Airport",32.954889,-111.766832,1464,-7,"U"
"CHA","Lovell Fld",35.035278,-85.203808,683,-5,"A"
"CHI","All Airports",41.883611,-87.631667,596,-6,"A"
"CHO","Charlottesville-Albemarle",38.138639,-78.452861,639,-5,"A"
"CHS","Charleston Afb Intl",32.898647,-80.040528,45,-5,"A"
"CHU","Chuathbaluk Airport",61.579167,-159.215556,243,-9,"A"
"CIC","Chico Muni",39.795383,-121.858422,238,-8,"A"
"CID","Cedar Rapids",41.884694,-91.710806,869,-6,"A"
"CIK","Chalkyitsik Airport",66.645,-143.74,544,-9,"A"
"CIL","Council Airport",64.897778,-163.703333,85,-9,"A"
"CIU","Chippewa County International Airport",46.2508,-84.4724,800,-5,"A"
"CKB","Harrison Marion Regional Airport",39.2966,-80.2281,1217,-5,"A"
"CKD","Crooked Creek Airport",61.867778,-158.135,178,-9,"A"
"CKF","Crisp County Cordele Airport",31.9888333,-83.7739167,310,-5,"A"
"CKV","Clarksville-Montgomery County Regional Airport",36.621944,-87.415,550,-5,"A"
"CLC","Clear Lake Metroport",29.5569,-95.137497,35,6,"A"
"CLD","McClellan-Palomar Airport",33.0742,-117.1648,328,-8,"A"
"CLE","Cleveland Hopkins Intl",41.411689,-81.849794,791,-5,"A"
"CLL","Easterwood Fld",30.588583,-96.363833,321,-6,"A"
"CLM","William R Fairchild International Airport",48.1202,-123.5,291,-8,"A"
"CLT","Charlotte Douglas Intl",35.214,-80.943139,748,-5,"A"
"CLW","Clearwater Air Park",27.9764722,-82.7586667,70,-5,"A"
"CMH","Port Columbus Intl",39.997972,-82.891889,815,-5,"A"
"CMI","Champaign",40.03925,-88.278056,754,-6,"A"
"CMX","Houghton County Memorial Airport",47.1684,-88.4891,1095,-5,"A"
"CNM","Cavern City Air Terminal",32.337472,-104.263278,3295,-7,"A"
"CNW","Tstc Waco",31.637831,-97.074139,470,-6,"A"
"CNY","Canyonlands Field",38.755,-109.754722,4555,-7,"A"
"COD","Yellowstone Rgnl",44.520194,-109.023806,5102,-7,"A"
"COF","Patrick Afb",28.234922,-80.610125,8,-5,"A"
"CON","Concord Municipal",43.20267,-71.50233,342,-5,"A"
"COS","City Of Colorado Springs Muni",38.805805,-104.700778,6187,-7,"A"
"COT","Cotulla Lasalle Co",28.456694,-99.220294,474,-6,"A"
"COU","Columbia Rgnl",38.818094,-92.219631,889,-6,"A"
"CPR","Natrona Co Intl",42.908,-106.464417,5347,-7,"A"
"CPS","St. Louis Downtown Airport",38.5707244,-90.1562211,413,-6,"U"
"CRE","Grand Strand Airport",33.81175,-78.7239444,31,-4,"A"
"CRP","Corpus Christi Intl",27.770361,-97.501222,44,-6,"A"
"CRW","Yeager",38.373147,-81.593189,981,-5,"A"
"CSG","Columbus Metropolitan Airport",32.5163333,-84.9388611,397,-5,"A"
"CTB","Cut Bank Muni",48.608353,-112.376144,3854,-7,"A"
"CTH","Chester County G O Carlson Airport",39.9789,-75.8654,660,-5,"A"
"CTJ","West Georgia Regional Airport - O V Gray Field",33.6316964,-85.1522641,1165,-4,"A"
"CTY","Cross City",29.6355278,-83.10475,42,-4,"A"
"CVG","Cincinnati Northern Kentucky Intl",39.048836,-84.667822,896,-5,"A"
"CVN","Clovis Muni",34.425139,-103.079278,4216,-6,"A"
"CVS","Cannon Afb",34.382775,-103.322147,4295,-7,"A"
"CVX","Charlevoix Municipal Airport",45.3047778,-85.2753333,669,-5,"A"
"CWA","Central Wisconsin",44.772726,-89.646635,840,-6,"A"
"CWI","Clinton Municipal",41.83075,-90.3289722,708,-6,"A"
"CXF","Coldfoot Airport",67.251389,-150.176111,1014,-9,"A"
"CXL","Calexico Intl",32.669502,-115.51333,4,-8,"A"
"CXO","Lone Star Executive",30.351833,-95.414467,245,-6,"A"
"CXY","Capital City Airport",40.2171389,-76.8513611,347,-5,"A"
"CYF","Chefornak Airport",60.149167,-164.285556,40,-9,"A"
"CYM","Chatham Seaplane Base",57.515,-134.946111,0,-9,"A"
"CYS","Cheyenne Rgnl Jerry Olson Fld",41.155722,-104.811839,6156,-7,"A"
"CYT","Yakataga Airport",60.081901,-142.493611,12,-9,"A"
"CZF","Cape Romanzof Lrrs",61.780297,-166.038747,457,-9,"A"
"CZN","Chisana Airport",62.071111,-142.048333,1011,-9,"A"
"DAB","Daytona Beach Intl",29.179917,-81.058056,34,-5,"A"
"DAL","Dallas Love Fld",32.847111,-96.851778,487,-6,"A"
"DAY","James M Cox Dayton Intl",39.902375,-84.219375,1009,-5,"A"
"DBQ","Dubuque Rgnl",42.402,-90.709472,1076,-6,"A"
"DCA","Ronald Reagan Washington Natl",38.852083,-77.037722,15,-5,"A"
"DDC","Dodge City Regional Airport",37.7634,-99.9656,2594,-6,"A"
"DEC","Decatur",39.834564,-88.865689,682,-6,"A"
"DEN","Denver Intl",39.861656,-104.673178,5431,-7,"A"
"DET","Coleman A Young Muni",42.409195,-83.009861,626,-5,"A"
"DFW","Dallas Fort Worth Intl",32.896828,-97.037997,607,-6,"A"
"DGL","Douglas Municipal Airport",31.3426028,-109.5064544,4173,-7,"N"
"DHN","Dothan Rgnl",31.321339,-85.449628,401,-6,"A"
"DHT","Dalhart Muni",36.022586,-102.547278,3991,-6,"A"
"DIK","Dickinson Theodore Roosevelt Regional Airport",46.7975,-102.801944,2592,-5,"A"
"DKB","De Kalb Taylor Municipal Airport",41.9338342,-88.7056864,914,-6,"U"
"DKK","Chautauqua County-Dunkirk Airport",42.4933353,-79.2720417,693,-5,"A"
"DKX","Knoxville Downtown Island Airport",35.9638333,-83.8736667,833,-4,"A"
"DLF","Laughlin Afb",29.359486,-100.777975,1082,-6,"A"
"DLG","Dillingham",59.044667,-158.5055,74,-9,"A"
"DLH","Duluth Intl",46.842091,-92.193649,1428,-6,"A"
"DLL","Baraboo Wisconsin Dells Airport",43.5217843,-89.7709266,979,-6,"A"
"DMA","Davis Monthan Afb",32.166467,-110.883144,2704,-7,"A"
"DNL","Daniel Field Airport",33.4665028,-82.0393808,423,-5,"A"
"DNN","Dalton Municipal Airport",34.7229444,-84.87025,709,-4,"A"
"DOV","Dover Afb",39.129539,-75.465958,28,-5,"A"
"DPA","Dupage",41.907778,-88.248611,758,-6,"A"
"DQH","Douglas Municipal Airport",31.4767385,-82.8605664,257,-5,"A"
"DRG","Deering Airport",66.0696,-162.766,21,-9,"A"
"DRI","Beauregard Rgnl",30.831722,-93.339917,202,-6,"A"
"DRM","Drummond Island Airport",46.0093114,-83.7439342,668,-5,"A"
"DRO","Durango La Plata Co",37.151516,-107.75377,6685,-7,"A"
"DRT","Del Rio Intl",29.374208,-100.927158,1002,-6,"A"
"DSM","Des Moines Intl",41.533972,-93.663083,958,-6,"A"
"DTA","Delta Municipal Airport",39.3806386,-112.5077147,4759,-6,"A"
"DTS","Destin",30.4000611,-86.4714772,23,-5,"A"
"DTW","Detroit Metro Wayne Co",42.212444,-83.353389,645,-5,"A"
"DUC","Halliburton Field Airport",34.4713056,-97.9598611,1114,-6,"A"
"DUG","Bisbee Douglas Intl",31.469028,-109.603667,4154,-7,"A"
"DUJ","DuBois Regional Airport",41.1783,-78.8987,1817,-5,"A"
"DUT","Unalaska",53.900139,-166.5435,22,-9,"A"
"DVL","Devils Lake Regional Airport",48.114444,-98.908611,1445,-6,"A"
"DVT","Deer Valley Municipal Airport",33.4117,112.457,1478,-7,"A"
"DWA","Yolo County Airport",38.5793889,-121.8569444,100,-7,"A"
"DWH","David Wayne Hooks Field",30.063746,-95.554276,152,-6,"A"
"DWS","Orlando",28.398,-81.57,340,-5,"A"
"DXR","Danbury Municipal Airport",41.3715353,-73.4821906,458,-5,"A"
"DYS","Dyess Afb",32.420756,-99.8546,1789,-6,"A"
"E25","Wickenburg Municipal Airport",33.96889877,-112.7990036,2377,-7,"A"
"E51","Bagdad Airport",34.5958528,-113.170195,4183,-7,"A"
"E55","Ocean Ridge Airport",38.8016111,-123.5306389,940,-8,"A"
"E63","Gila Bend Municipal Airport",32.960169,-112.673636,789,-7,"U"
"E91","Chinle Municipal Airport",36.1108806,-109.5754222,5547,-7,"N"
